Domain,Is ATS,Company,Final Url,URL History,Step,Error
catsone.com,yes,/feeds/1105media.xml,https://www.catsone.com?ref=career-portal,"https://de.jobsyn.org/24e6b908c7574178a33a437280902035105
--
https://careers.1105media.com/careers/4260-General/jobs/14824108-Client-Services-Project-Coordinator/
--
  https://www.catsone.com?ref=career-portal",3,
ourcareerpages.com,yes,/feeds/128PlumbingHeatingCoolingElectric.xml,http://jobs.ourcareerpages.com/job/615201~01880~8711059?source=DirectEmployers,"https://de.jobsyn.org/14188de6322c4a07993e7bc2b069420a105
--
http://jobs.ourcareerpages.com/job/615201~01880~8711059?source=DirectEmployers",1,
applytojob.com,yes,/feeds/159SolutionsInc.xml,https://159solutionsinc.applytojob.com/apply/5e2d251c0a7a6352576b40715f524a62026d166434663d400b362b42677e2264133f7f/Analytics-Associate?sid=4BGC8JRdgYpHnazS6TI5e3yxCeat28l1Pn6&source=DIREC,"https://de.jobsyn.org/b70c6ff8b3d8415ba40f4b0817bc5c5b105
--
https://159solutionsinc.applytojob.com/apply/5e2d251c0a7a6352576b40715f524a62026d166434663d400b362b42677e2264133f7f/Analytics-Associate?sid=4BGC8JRdgYpHnazS6TI5e3yxCeat28l1Pn6&source=DIREC",1,
applytojob.com,yes,/feeds/1800Accountant.xml,https://1800accountant.applytojob.com/apply/FPQJgQI8j7/Tax-Consultant?source=DIREC,"https://de.jobsyn.org/2bc9480cfbd64a319957a72575a2e422105
--
https://1800accountant.applytojob.com/apply/FPQJgQI8j7/Tax-Consultant?source=DIREC",1,
jsco.re,yes,/feeds/1904labs.xml,https://jsco.re/brirx,"https://de.jobsyn.org/554f952f7d0d4b929352c3eb236df231105
--
https://jsco.re/brirx",1,
taleo.net,yes,/feeds/1fbusa.xml,https://phg.tbe.taleo.net/phg03/ats/careers/v2/viewRequisition?org=FFBUSA&cws=42&rid=616,"https://de.jobsyn.org/e73294dfd9ba4cdabc26c0713d675c62105
--
https://phg.tbe.taleo.net/phg03/ats/careers/v2/viewRequisition?org=FFBUSA&cws=42&rid=616",1,
applytojob.com,yes,/feeds/1stClassSecurityInc.xml,https://1stclasssecurity.applytojob.com/apply/aiOP48jCwq/Loss-Prevention-Officer?source=DIREC,"https://de.jobsyn.org/db7955547afc438884dee4a8709fbad8105
--
https://1stclasssecurity.applytojob.com/apply/aiOP48jCwq/Loss-Prevention-Officer?source=DIREC",1,
icims.com,yes,/feeds/1stCommercialRealtyGroup.xml,https://careers-1st-comm.icims.com/jobs/1370/staff-accountant---paii/job,"https://de.jobsyn.org/33d22f6a5a864307aca3b613ad94d689105
--
https://careers-1st-comm.icims.com/jobs/1370/staff-accountant---paii/job",1,
applytojob.com,yes,/feeds/1stMerchantFunding.xml,http://1stmerchantfunding.applytojob.com/apply/job_20191118023111_XEEUUVP2J9D9UMYJ/Senior-Credit-Analyst?source=DIREC,"https://de.jobsyn.org/6dea1797f319429e8c794be01427bd0f105
--
http://1stmerchantfunding.applytojob.com/apply/job_20191118023111_XEEUUVP2J9D9UMYJ/Senior-Credit-Analyst?source=DIREC",1,
icims.com,yes,/feeds/2020co.xml,https://careers-2020companies.icims.com/jobs/61034/samsung-experience-consultant-%28pt%29/job,"https://de.jobsyn.org/068f9fc0879f48348803000772520224105
--
https://careers-2020companies.icims.com/jobs/61034/samsung-experience-consultant-%28pt%29/job",1,
applytojob.com,yes,/feeds/21stCenturyEquipment.xml,https://21stcenturyequipmentinc.applytojob.com/apply/0c27210a7c45745467765a585e517d5e555634352e36782766032a20052f3a1c233d5e/Service-Technician?sid=fHCUNuFdWBhaogOofekwwaIrQNhrNznZogi&source=DIREC,"https://de.jobsyn.org/632847608cff47969edf264bf4a3db5e105
--
https://21stcenturyequipmentinc.applytojob.com/apply/0c27210a7c45745467765a585e517d5e555634352e36782766032a20052f3a1c233d5e/Service-Technician?sid=fHCUNuFdWBhaogOofekwwaIrQNhrNznZogi&source=DIREC",1,
applytojob.com,yes,/feeds/24HRSafetyLLC.xml,https://24hrsafetyllc.applytojob.com/apply/Nkyww052GL/HSEQ-Specialist?source=DIREC,"https://de.jobsyn.org/aedc41513240412d8914f083f9e371cd105
--
https://24hrsafetyllc.applytojob.com/apply/Nkyww052GL/HSEQ-Specialist?source=DIREC",1,
adp.com,yes,/feeds/24hourfitnessinc.xml,https://recruiting.adp.com/srctcb/public/portlet.guid?t=1133451&z=COLLECTOR,"https://de.jobsyn.org/046b62a56105434b9f52ba6f107dbb2c105
--
https://careers.24hourfitness.com/046B62A56105434B9F52BA6F107DBB2C/job/?vs=105&utm_source=XMLFeed-DE&utm_medium=XMLFeed&utm_campaign=XMLFeed
--
  https://recruiting.adp.com/srctcb/public/portlet.guid?t=1133451&z=COLLECTOR",3,
applytojob.com,yes,/feeds/2ndWatchInc.xml,https://2ndwatch.applytojob.com/apply/HRmpUgd5WU/Enterprise-Account-Executive-West?source=DIREC,"https://de.jobsyn.org/ff8b24b3169d42ffbf9a7eb2cafae625105
--
https://2ndwatch.applytojob.com/apply/HRmpUgd5WU/Enterprise-Account-Executive-West?source=DIREC",1,
usajobs.gov,yes,/feeds/UsaJobsGov_ARE2.xml,https://www.usajobs.gov:443/GetJob/ViewDetails/646723000,"https://de.jobsyn.org/f62bfc49eb53461792a6944cd7c116e8105
--
https://www.usajobs.gov:443/GetJob/ViewDetails/646723000",1,
icims.com,yes,/feeds/isc2.xml,https://careers-isc2.icims.com/jobs/1287/psychometrician/job,"https://de.jobsyn.org/d1daa51eb35f49e8a81af9fcb6622db6105
--
https://careers-isc2.icims.com/jobs/1287/psychometrician/job",1,
taleo.net,yes,/feeds/oneprospect.xml,https://phf.tbe.taleo.net/phf01/ats/careers/v2/viewRequisition?org=PFS&cws=40&rid=2001,"https://de.jobsyn.org/86f4bda9bfc8455385736e669d2d0354105
--
https://phf.tbe.taleo.net/phf01/ats/careers/v2/viewRequisition?org=PFS&cws=40&rid=2001",1,
jobvite.com,yes,/feeds/twoten.xml,http://app.jobvite.com/CompanyJobs/Job.aspx?c=qrNaVfw3&j=oVCYifwx,"https://de.jobsyn.org/6d027f39f4534b77940237cda437d005105
--
http://app.jobvite.com/CompanyJobs/Job.aspx?c=qrNaVfw3&j=oVCYifwx",1,
careerplug.com,yes,/feeds/waterdamage.xml,https://1-800-water-damage-careers.careerplug.com/jobs/1465691,"https://de.jobsyn.org/68f5ca91b96549898f739387257a20e8105
--
https://1-800-water-damage-careers.careerplug.com/jobs/1465691",1,
